[[43.64135, -79.389259], 1]
[[43.641387, -79.389246], 1]
[[43.641388, -79.389131], 1]
[[43.641388, -79.38762], 1]
[[43.641388, -79.386117], 1]
[[43.641397, -79.387353], 1]
[[43.641455, -79.387464], 1]
[[43.641594, -79.389473], 1]
[[43.641616, -79.38955], 1]
[[43.641619, -79.389437], 1]
[[43.641625, -79.389337], 1]
[[43.641627, -79.381478], 1]
[[43.641636, -79.391853], 1]
[[43.641727, -79.38697], 1]
[[43.64173, -79.374742], 1]
[[43.641751, -79.380737], 1]
[[43.641755, -79.388584], 1]
[[43.641797, -79.390576], 1]
[[43.6418, -79.386756], 1]
[[43.641805, -79.385533], 1]
[[43.641813, -79.386787], 1]
[[43.641816, -79.386906], 1]
[[43.641827, -79.388545], 1]
[[43.641836, -79.389501], 1]
[[43.641869, -79.384898], 1]
[[43.641875, -79.381059], 1]
[[43.64192, -79.37468], 1]
[[43.641944, -79.37457], 1]
[[43.641947, -79.387514], 1]
[[43.64198, -79.390298], 1]
[[43.642008, -79.386953], 1]
[[43.642011, -79.386223], 1]
[[43.642027, -79.383839], 1]
[[43.642033, -79.386406], 1]
[[43.642036, -79.372117], 1]
[[43.642038, -79.387313], 1]
[[43.642044, -79.386445], 1]
[[43.642044, -79.386375], 1]
[[43.642052, -79.386398], 1]
[[43.642055, -79.386367], 1]
[[43.642063, -79.386362], 1]
[[43.642063, -79.386337], 1]
[[43.642069, -79.386323], 1]
[[43.642083, -79.386292], 1]
[[43.642086, -79.386253], 1]
[[43.642086, -79.386214], 1]
[[43.642088, -79.386209], 1]
[[43.642113, -79.380914], 1]
[[43.642125, -79.386262], 1]
[[43.642127, -79.386262], 1]
[[43.642141, -79.387651], 1]
[[43.642146, -79.375136], 1]
[[43.642169, -79.386284], 1]
[[43.642177, -79.38627], 1]
[[43.642188, -79.387262], 1]
[[43.642216, -79.387056], 1]
[[43.642241, -79.385912], 1]
[[43.642247, -79.386314], 1]
[[43.642333, -79.388387], 1]
[[43.642333, -79.386001], 1]
[[43.642341, -79.389306], 1]
[[43.642341, -79.384409], 1]
[[43.642361, -79.3789], 1]
[[43.64241, -79.386574], 1]
[[43.642422, -79.386109], 1]
[[43.642465, -79.386434], 1]
[[43.642466, -79.386962], 1]
